,id,sum,group
269,Léopold Flameng,1,2
270,M. Christollien,1,2
271,M. Favart,1,2
272,M. Paul Roche,1,2
273,Oskar Stössel,1,2
274,Orville Cline,1,2
275,Maerten van Heemskerck,1,2
276,Orsino Benintendi,1,2
277,Mair von Landshut,1,2
278,Malcolm Hackney,1,2
279,Malcolm Osborne,1,2
280,Manuel Salvador Carmona,1,2
281,Norma Lockwood,1,2
282,Marcelin Lortic,1,2
283,Niels Yde Andersen,1,2
284,Nicolò Boldrini,1,2
285,Mariano Andreu,1,2
286,Nicolas de Son,1,2
287,Marie-Anne Croisier,1,2
288,Marie-Therese Martinet,1,2
289,Nicolas de Largillierre,1,2
290,Martin Hardie,1,2
291,Nicolas Vleughels,1,2
292,Martin de Monchy,1,2
293,Ludwig von Siegen,1,2
294,Otto Felsing,1,2
295,Otto J. Schneider,1,2
296,Otto Mueller,1,2
297,Lily Capson,1,2
298,Linnet Alward,1,2
299,Lloyd A. Davidson,1,2
300,Lodovico Carracci,1,2
301,Lorenzo Costa,1,2
302,Lorenzo Monaco,1,2
303,Lorenzo di Credi,1,2
304,Lorieux,1,2
305,Louella Long,1,2
306,Louie H. Ewing,1,2
307,Paul Verrees,1,2
308,Louis Charles Ruotte,1,2
309,Mary Ann Burton,1,2
310,Paul Smith,1,2
311,Paul Sandby,1,2
312,Louis Heckenbleikner,1,2
313,Louis Lozowick,1,2
314,Paul Revere,1,2
315,Louis Tocqué,1,2
316,Paul Reimund,1,2
317,Paul Flindt the Younger,1,2
318,Paul Cadmus,1,2
319,Parmigianino,1,2
320,Paolo Farinati,1,2
321,Lucas Kilian,1,2
322,Lucas Vorsterman II,1,2
323,Louis Fort,1,2
324,Mary Beale,1,2
325,Nicolas Henri Tardieu,1,2
326,Mary Porter,1,2
327,Master with the Mountain-Like Clouds,1,2
328,Mathis Zündt,1,2
329,Matteo Civitali,1,2
330,Matthaus Merian I,1,2
331,Matthew Pratt,1,2
332,Matthis Quad,1,2
333,Murray Macpherson Tod,1,2
334,Maurice-Quentin de La Tour,1,2
335,Max Slevogt,1,2
336,Max Zachmann,1,2
337,Maxil Ballinger,1,2
338,Maxime Lalanne,1,2
339,Master with the Flower Borders,1,2
