,target,source,value
2868,Ailsa Mellon Bruce Fund,Michael Wolgemut,1
3874,Ailsa Mellon Bruce Fund,Fritz Schulze,1
2896,Ailsa Mellon Bruce Fund,Anatole-Martin de Bonsonge,1
2891,Ailsa Mellon Bruce Fund,Peeter Boel,1
3112,Ailsa Mellon Bruce Fund,Max Liebermann,2
3232,Ailsa Mellon Bruce Fund,Arnold Rönnebeck,6
2883,Ailsa Mellon Bruce Fund,Pierre-Emile Berthelemy,1
2882,Ailsa Mellon Bruce Fund,Jean Bérain,1
2880,Ailsa Mellon Bruce Fund,Jacques-Firmin Beauvarlet,1
2789,Ailsa Mellon Bruce Fund,Marius Alexander Jacques Bauer,1
2642,Ailsa Mellon Bruce Fund,Adélaïde Labille-Guiard,1
3867,Ailsa Mellon Bruce Fund,Johannes Cochlaeus,1
2795,Ailsa Mellon Bruce Fund,Alan Shields,1
3033,Ailsa Mellon Bruce Fund,Norbert Goeneutte,6
2804,Ailsa Mellon Bruce Fund,Hendrik Snyers,1
2831,Ailsa Mellon Bruce Fund,Dirk Jacobsz Vellert,1
3320,Ailsa Mellon Bruce Fund,Jacopo Amigoni,6
2753,Ailsa Mellon Bruce Fund,French 18th Century,25
3863,Ailsa Mellon Bruce Fund,Ellen Day Hale,1
2825,Ailsa Mellon Bruce Fund,Anne Vallayer-Coster,1
2823,Ailsa Mellon Bruce Fund,Sebastiano de Valentinis,1
3973,Ailsa Mellon Bruce Fund,Francesco Dal Pozzo,1
2490,Ailsa Mellon Bruce Fund,Hans Leonard Schäufelein,2
2817,Ailsa Mellon Bruce Fund,Antoine Trouvain,1
3025,Ailsa Mellon Bruce Fund,Jacques de Gheyn III,6
2815,Ailsa Mellon Bruce Fund,Alfred Wordsworth Thompson,1
3864,Ailsa Mellon Bruce Fund,Eduard Agricola,1
2812,Ailsa Mellon Bruce Fund,Pieter Tanje,1
2808,Ailsa Mellon Bruce Fund,Hans Springinklee,1
2805,Ailsa Mellon Bruce Fund,Jan van Somer,1
3211,Ailsa Mellon Bruce Fund,Paulus Pontius,6
3866,Ailsa Mellon Bruce Fund,Abbot Rupert of Deutz,1
2801,Ailsa Mellon Bruce Fund,Elisabetta Sirani,1
2834,Ailsa Mellon Bruce Fund,Carle Vernet,1
2798,Ailsa Mellon Bruce Fund,Israël Silvestre,1
2797,Ailsa Mellon Bruce Fund,Christoffel van Sichem I,1
2965,Ailsa Mellon Bruce Fund,Achille Devéria,3
2722,Ailsa Mellon Bruce Fund,Pieter Stevens,3
3078,Ailsa Mellon Bruce Fund,Salomon Koninck,2
2897,Ailsa Mellon Bruce Fund,Peter van der Borcht,1
2433,Ailsa Mellon Bruce Fund,Wassily Kandinsky,1
2540,Ailsa Mellon Bruce Fund,Wilhelm Lehmbruck,1
2587,Ailsa Mellon Bruce Fund,Willem Buytewech,1
2404,Ailsa Mellon Bruce Fund,Sir Anthony van Dyck,23
3149,Ailsa Mellon Bruce Fund,Matthaus Merian I,6
2611,Ailsa Mellon Bruce Fund,Abraham van Diepenbeeck,1
2555,Ailsa Mellon Bruce Fund,Alessandro Vittoria,1
2610,Ailsa Mellon Bruce Fund,Louis-Jean Desprez,1
2871,Ailsa Mellon Bruce Fund,Frans van den Wyngaerde,3
3280,Ailsa Mellon Bruce Fund,Laurent de La Hyre,6
3906,Ailsa Mellon Bruce Fund,Charles Thévenin,1
2609,Ailsa Mellon Bruce Fund,Sonia Delaunay,1
3907,Ailsa Mellon Bruce Fund,Cornelis van Dalen the Younger,1
2966,Ailsa Mellon Bruce Fund,Christian Wilhelm Ernst Dietrich,6
2605,Ailsa Mellon Bruce Fund,Pier Francesco Mola,1
3908,Ailsa Mellon Bruce Fund,Nathaniel Dance-Holland,1
2558,Ailsa Mellon Bruce Fund,Edwin Austin Abbey,1
2603,Ailsa Mellon Bruce Fund,Cornelis Cornelisz van Haarlem,1
3043,Ailsa Mellon Bruce Fund,Louis-Michel Halbou,3
2601,Ailsa Mellon Bruce Fund,Matthys Cock,1
3718,Ailsa Mellon Bruce Fund,Bernhard Zaech,6
2596,Ailsa Mellon Bruce Fund,Giuseppe Cesari,1
2594,Ailsa Mellon Bruce Fund,Bernardo Castello,1
3909,Ailsa Mellon Bruce Fund,Luigi Tasca,1
2469,Ailsa Mellon Bruce Fund,Pierre Paul Prud'hon,2
3042,Ailsa Mellon Bruce Fund,Jan Hackaert,6
2533,Ailsa Mellon Bruce Fund,Raymond Duchamp-Villon,1
2612,Ailsa Mellon Bruce Fund,"Pier Francesco Mazzucchelli, called Morazzone",1
2532,Ailsa Mellon Bruce Fund,Charles Despiau,1
2615,Ailsa Mellon Bruce Fund,Jean-Michel Moreau the Younger,1
2618,Ailsa Mellon Bruce Fund,Charles Eisen,1
2537,Ailsa Mellon Bruce Fund,Jean-Antoine Houdon,1
2541,Ailsa Mellon Bruce Fund,Antonio Lombardo,1
2535,Ailsa Mellon Bruce Fund,Alberto Giacometti,1
2543,Ailsa Mellon Bruce Fund,Jean-Louis-Ernest Meissonier,1
2574,Ailsa Mellon Bruce Fund,Jan de Bisschop,1
2461,Ailsa Mellon Bruce Fund,Giovanni Paolo Panini,2
2579,Ailsa Mellon Bruce Fund,Adriaen Frans Boudewyns,1
2641,Ailsa Mellon Bruce Fund,Giovanni Guerra,1
2544,Ailsa Mellon Bruce Fund,Gaetano Monti,1
3903,Ailsa Mellon Bruce Fund,Jean de Saint-Igny,1
2608,Ailsa Mellon Bruce Fund,Alexandre-Gabriel Decamps,2
2545,Ailsa Mellon Bruce Fund,Claes Oldenburg,1
3132,Ailsa Mellon Bruce Fund,Master of the E-Series Tarocchi,23
2613,Ailsa Mellon Bruce Fund,Gaspare Diziani,1
2636,Ailsa Mellon Bruce Fund,Josua de Grave,1
2549,Ailsa Mellon Bruce Fund,George Segal,1
3084,Ailsa Mellon Bruce Fund,Jean Jacques Lagrenée II,6
2578,Ailsa Mellon Bruce Fund,Andrea Boscoli,1
2870,Ailsa Mellon Bruce Fund,Thomas Wyck,3
2633,Ailsa Mellon Bruce Fund,Girolamo da Treviso II,1
2626,Ailsa Mellon Bruce Fund,Henry Fuseli,1
2623,Ailsa Mellon Bruce Fund,Edwin Forbes,1
2552,Ailsa Mellon Bruce Fund,Pietro Tacca,1
3905,Ailsa Mellon Bruce Fund,Joseph Lemercier,1
2621,Ailsa Mellon Bruce Fund,Gregorio De Ferrari,1
2617,Ailsa Mellon Bruce Fund,Themistocles von Eckenbrecher,1
2486,Ailsa Mellon Bruce Fund,Jacob van Ruisdael,1
2559,Ailsa Mellon Bruce Fund,Francesco Albani,1
2531,Ailsa Mellon Bruce Fund,François Coudray,1
3086,Ailsa Mellon Bruce Fund,Francisco Lameyer y Berenguer,2
2570,Ailsa Mellon Bruce Fund,Jacques Bellange,1
2470,Ailsa Mellon Bruce Fund,Pierre Puvis de Chavannes,1
2477,Ailsa Mellon Bruce Fund,Sebastiano Ricci,2
2462,Ailsa Mellon Bruce Fund,Jean-Baptiste Joseph Pater,1
3682,Ailsa Mellon Bruce Fund,Johann Heinrich Schönfeld,6
2571,Ailsa Mellon Bruce Fund,Filippo Bellini,1
3185,Ailsa Mellon Bruce Fund,Aleksandr Osipovich Orlovskii,6
2573,Ailsa Mellon Bruce Fund,Bibiena (family member),1
2459,Ailsa Mellon Bruce Fund,Jean-Marc Nattier,1
2457,Ailsa Mellon Bruce Fund,Joan Miró,1
2950,Ailsa Mellon Bruce Fund,Cornelis Cort,6
2530,Ailsa Mellon Bruce Fund,Bruce Conner,1
2554,Ailsa Mellon Bruce Fund,Peter Vischer the Younger,1
2454,Ailsa Mellon Bruce Fund,Quentin Massys,1
2902,Ailsa Mellon Bruce Fund,Peeter Bout,1
2453,Ailsa Mellon Bruce Fund,Louis Casimir Ladislas Marcoussis,1
2450,Ailsa Mellon Bruce Fund,Nicolaes Maes,1
3899,Ailsa Mellon Bruce Fund,David Law,1
2449,Ailsa Mellon Bruce Fund,Johann Liss,1
3061,Ailsa Mellon Bruce Fund,Gabriel Huquier,24
2498,Ailsa Mellon Bruce Fund,George Stubbs,2
2442,Ailsa Mellon Bruce Fund,Alphonse Legros,1
2439,Ailsa Mellon Bruce Fund,Georges de La Tour,1
2437,Ailsa Mellon Bruce Fund,Nicolas Lancret,1
2473,Ailsa Mellon Bruce Fund,Ad Reinhardt,1
2903,Ailsa Mellon Bruce Fund,René Boyvin,6
3901,Ailsa Mellon Bruce Fund,Anton Krüger,1
